name,group,epoch,country,sex,year_from,year_to,haplogroup,fasta_url
I5512,BBC,Bronze Age,Great Britain,F,-2500,-1800,J1c,/static_md5/data/fasta/I5512.fa
I1705,BANE,Bronze Age,Jordan,M,-2198,-1966,H14a,/static_md5/data/fasta/I1705.fa
I1730,BANE,Bronze Age,Jordan,M,-2489,-2299,R0a1a,/static_md5/data/fasta/I1730.fa
RISE569,SLV,Iron Age,Czech Republic,F,660,770,H1af,
RISE568,SLV,Iron Age,Czech Republic,F,600,900,H44a,
LICOL70,LONG,Middle Ages,Italy,U,570,800,H11a,/static_md5/data/fasta/LICOL70.fa
NLHHACS 15,MAHu,Middle Ages,Hungary,U,500,600,U5a1c2a,
arm28,BACA,Bronze Age,Armenia,U,-1400,-1200,K1a4c1,/static_md5/data/fasta/arm28.fa
MX150,NESw,Neolithic,Switzerland,M,-3244,-3102,H4a1a,/static_md5/data/fasta/MX150.fa
arm3,BACA,Bronze Age,Armenia,U,-3039,-2864,K3,/static_md5/data/fasta/arm3.fa
I3983,CAIB,Classical Age,Spain,M,265,427,H4a1c2,/static_md5/data/fasta/I3983.fa
ILK002,GAC,Bronze Age,Ukraine,M,-2890,-2694,T2b,
ILK003,GAC,Bronze Age,Ukraine,F,-2900,-2709,J1c,
Bon005,NENE,Neolithic,Turkey,F,-8300,-8240,N1a1a1,
DV16,HGC,Gravettian,Czech Republic,M,-28760,-27360,U5,/static_md5/data/fasta/DV16.fa
arm30,BACA,Bronze Age,Armenia,U,-1500,-1300,U8b1a2b,/static_md5/data/fasta/arm30.fa
LICOL83,LONG,Middle Ages,Italy,U,570,800,H1,/static_md5/data/fasta/LICOL83.fa
MX182,NESw,Neolithic,Switzerland,M,-3338,-3031,K1a,/static_md5/data/fasta/MX182.fa
LICOL84,LONG,Middle Ages,Italy,U,570,800,H1,/static_md5/data/fasta/LICOL84.fa
I0099,BAGe,Bronze Age,Germany,M,-1193,-979,H23,/static_md5/data/fasta/I0099.fa
arm31,BACA,Bronze Age,Armenia,U,-1400,-1200,T1a9,/static_md5/data/fasta/arm31.fa
I1414,PPNE,Neolithic,Jordan,M,-8300,-7900,K1a18,/static_md5/data/fasta/I1414.fa
kum4,NENE,Neolithic,Turkey,F,-4900,-4300,None,
arm32,BACA,Bronze Age,Armenia,U,-1400,-1200,HV1a2,/static_md5/data/fasta/arm32.fa
MX183,NESw,Neolithic,Switzerland,M,-3344,-3037,K1a+195,/static_md5/data/fasta/MX183.fa
LICOL86,LONG,Middle Ages,Italy,U,570,800,None,
arm34,BACA,Bronze Age,Armenia,U,-1348,-1175,U3b,/static_md5/data/fasta/arm34.fa
RISE483,BAHu,Bronze Age,Hungary,F,-2000,-1500,H2a1,/static_md5/data/fasta/RISE483.fa
Chaudardes1,HGW,Mesolithic,France,M,-6410,-6100,U5b1b,
arm35,BACA,Bronze Age,Armenia,U,-2000,-1800,U3b,/static_md5/data/fasta/arm35.fa
NLHHACS 5,MAHu,Middle Ages,Hungary,U,500,600,H1bh,
MX184,NESw,Neolithic,Switzerland,F,-3400,-2500,J1c3,/static_md5/data/fasta/MX184.fa
arm37,IACA,Iron Age,Armenia,U,-1100,-900,H,/static_md5/data/fasta/arm37.fa
arm39,NECA,Neolithic,Armenia,U,-5925,-5717,I1,/static_md5/data/fasta/arm39.fa
I6492,CLIB,Classical Age,Spain,M,200,500,T2b11,/static_md5/data/fasta/I6492.fa
MX187,NESw,Neolithic,Switzerland,M,-3337,-2908,K1a+195,/static_md5/data/fasta/MX187.fa
LICOL87,LONG,Middle Ages,Italy,U,570,800,H1,/static_md5/data/fasta/LICOL87.fa
Tep003,NENE,Neolithic,Turkey,M,-6635,-6475,N1b1a,
I1700,PPNE,Neolithic,Jordan,M,-8300,-7900,T1a2,/static_md5/data/fasta/I1700.fa
I11599,CAIB,Copper Age,Portugal,M,-3400,-2800,J2b1a2,/static_md5/data/fasta/I11599.fa
LICOL94,LONG,Middle Ages,Italy,U,570,800,K1c1,/static_md5/data/fasta/LICOL94.fa
RISE512,BARu,Bronze Age,Russia,M,-1446,-1298,U2e1,/static_md5/data/fasta/RISE512.fa
RISE484,BAHu,Bronze Age,Hungary,F,-2000,-1500,T1a1,/static_md5/data/fasta/RISE484.fa
Bichon,HGW,Mesolithic,Switzerland,M,-11820,-11610,U5b1h,
LICOL97,LONG,Middle Ages,Italy,U,570,800,H2a2b1,/static_md5/data/fasta/LICOL97.fa
arm4,CLCA,Classical Age,Armenia,U,-100,100,J1d1b1,/static_md5/data/fasta/arm4.fa
I7158,CLIB,Classical Age,Spain,M,200,500,T2b,/static_md5/data/fasta/I7158.fa
MX188,CWC,Neolithic,Switzerland,M,-2495,-2399,U2e2a1d,/static_md5/data/fasta/MX188.fa
I11601,CAIB,Copper Age,Portugal,F,-3400,-2800,V,/static_md5/data/fasta/I11601.fa
JK2134,CLNE,Classical Age,Egypt,M,-776,-569,J1d,
I11605,CAIB,Copper Age,Portugal,M,-3100,-2500,HV0d,/static_md5/data/fasta/I11605.fa
Tep006,NENE,Neolithic,Turkey,M,-6345,-6215,N1a1a1,
I11614,CAIB,Copper Age,Portugal,F,-2800,-2600,H4a1a,/static_md5/data/fasta/I11614.fa
arm40,BACA,Bronze Age,Armenia,U,-3449,-3091,H14b2,/static_md5/data/fasta/arm40.fa
arm42,BACA,Bronze Age,Armenia,U,-3500,-3200,T1,/static_md5/data/fasta/arm42.fa
arm43,BACA,Bronze Age,Armenia,U,-1800,-1600,U4a,/static_md5/data/fasta/arm43.fa
I5879,NEUk,Neolithic,Ukraine,M,-5500,-4800,U5a1b,/static_md5/data/fasta/I5879.fa
MX189,CWC,Neolithic,Switzerland,F,-2105,-2036,T2b,/static_md5/data/fasta/MX189.fa
Bul4,YAM,Bronze Age,Bulgaria,M,-3012,-2900,None,
RISE547,YAM,Bronze Age,Russia,M,-2887,-2634,T2a1a,
I3432,CAIB,Copper Age,Portugal,F,-3082,-2909,U5b2b3,/static_md5/data/fasta/I3432.fa
LICOL102,LONG,Middle Ages,Italy,U,570,800,H1,/static_md5/data/fasta/LICOL102.fa
RISE548,YAM,Bronze Age,Russia,M,-3000,-2400,U4,
LICOL110,LONG,Middle Ages,Italy,U,570,800,None,
arm44,IACA,Iron Age,Armenia,U,-743,-491,U3b3,/static_md5/data/fasta/arm44.fa
LICOL121,LONG,Middle Ages,Italy,U,570,800,T2b,/static_md5/data/fasta/LICOL121.fa
arm45,BACA,Bronze Age,Armenia,U,-1800,-1600,T,/static_md5/data/fasta/arm45.fa
I2520,BABA,Bronze Age,Bulgaria,M,-3336,-3028,H,/static_md5/data/fasta/I2520.fa
I8338,CLIB,Classical Age,Spain,F,100,200,HV0+195,/static_md5/data/fasta/I8338.fa
MX190,CWC,Neolithic,Switzerland,M,-2860,-2460,U2e2a1d,/static_md5/data/fasta/MX190.fa
NLHBAL150C,MAHu,Middle Ages,Hungary,U,450,500,None,
NLHBAL112A,MAHu,Middle Ages,Hungary,U,450,500,None,
LICOL145,LONG,Middle Ages,Italy,U,570,800,T2b,/static_md5/data/fasta/LICOL145.fa
NLHBAL143C,MAHu,Middle Ages,Hungary,U,450,500,None,
